Start,End,Distance
4001,4048,76.95
4001,4059,115.01
4001,4064,
4001,4071,50.58
4001,4077,80.37
4001,4087,19.58
4001,4088,97.8
4001,4105,46.81
4001,4114,104.28
4001,4116,83.33
4001,4126,62.42
4001,4139,138.33
4001,4142,98.03
4001,4144,62.08
4001,4152,38.85
4001,4164,30.6
4001,4168,70.0
4001,4176,90.92
4001,4179,50.92
4001,4191,94.81
4001,4196,25.61
4001,4207,85.75
4001,4211,90.09
4001,4212,51.79
4001,4221,81.89
4001,4222,80.89
4001,4228,77.45
4001,4232,42.14
4001,4234,85.48
4001,4248,128.98
4001,4250,128.26
4001,4252,34.44
4001,4253,31.91
4001,4258,59.36
4001,4259,60.67
4001,4273,10.51
4001,4274,130.48
4001,4303,61.61
4001,4316,121.22
4001,4324,103.92
4001,4327,62.04
4001,4330,125.76
4001,4332,26.37
4001,4339,55.05
4001,4361,86.02
4001,4374,61.7
4001,4377,
4001,4379,55.75
4001,4381,106.46
4001,4385,78.14
4001,4389,27.02
4001,4400,67.46
4001,4414,47.68
4001,4415,42.04
4001,4418,89.11
4001,4422,139.06
4001,4426,34.04
4001,4432,29.63
4001,4433,131.66
4001,4438,49.67
4001,4443,60.39
4001,4467,134.94
4001,4472,129.16
4001,4480,151.57
4001,4482,99.7
4001,4495,87.38
4001,4496,45.44
4001,4498,58.38
4001,4501,113.4
4001,4512,131.75
4001,4519,58.58
4001,4536,116.33
4001,4545,
4001,4550,12.02
4001,4568,59.61
4001,4601,5.58
4001,4603,83.72
4001,4617,32.26
4001,4622,132.44
4001,4624,
4001,4625,69.74
4001,4631,152.74
4001,4644,
4001,4652,80.33
4001,4681,126.15
4001,4686,86.36
4001,4696,104.25
4001,4716,55.0
4001,4717,90.04
4001,4721,49.27
4001,4732,51.96
4001,4740,4.57
4001,4759,47.46
4001,4765,66.26
4001,4769,64.61
4001,4771,145.05
4001,4772,94.02
4001,4805,80.83
4001,4806,67.04
4001,4809,124.31
4001,4817,74.98
4001,4832,37.69
4001,4850,112.44
4001,4852,24.07
4001,4853,39.72
4001,4863,32.25
4001,4878,119.55
4001,4888,66.67
4001,4889,78.2
4001,4910,119.5
4001,4915,30.99
4001,4919,69.48
4001,4925,58.15
4001,4931,114.56
4001,4942,90.49
4001,4946,57.89
4001,4953,51.58
4001,4963,28.4
4001,4964,115.95
4001,4968,88.14
4001,4969,116.27
4001,4970,105.99
4001,4996,78.55
4001,5005,94.01
4001,5033,92.51
4001,5039,34.41
4001,5049,163.54
4001,5050,60.97
4001,5051,76.92
4001,5054,141.3
4001,5067,71.36
4001,5076,30.6
4001,5086,148.15
4001,5087,8.6
4001,5095,125.03
4001,5096,96.75
4001,5105,131.45
4001,5106,52.47
4001,5111,62.33
4001,5118,104.25
4001,5120,101.49
4001,5125,78.07
4001,5137,86.27
4001,5140,75.84
4001,5143,61.96
4001,5155,100.85
4001,5162,62.92
4001,5164,33.38
4001,5174,107.78
4001,5181,97.06
4001,5189,63.66
4001,5200,37.49
4001,5201,128.05
4001,5205,133.86
4001,5207,31.0
4001,5212,111.27
4001,5213,124.82
4001,5215,54.7
4001,5226,108.23
4001,5229,106.98
4001,5231,
4001,5232,54.01
4001,5233,49.16
4001,5241,51.37
4001,5257,90.53
4001,5259,22.97
4001,5261,121.95
4001,5292,144.32
4001,5304,108.8
4001,5309,127.84
4001,5311,12.75
4001,5315,85.94
4001,5322,45.0
4001,5325,42.97
4001,5333,116.26
4001,5335,55.72
4001,5339,120.37
4001,5351,97.34
4001,5357,78.61
4001,5372,29.47
4001,5373,102.4
4001,5375,102.25
4001,5379,163.59
4001,5382,138.08
4001,5389,74.14
4001,5414,31.25
4001,5419,133.44
4001,5426,25.19
4001,5435,46.53
4001,5440,70.97
4001,5443,107.38
4001,5463,54.0
4001,5466,59.02
4001,5473,20.89
4001,5478,134.16
4001,5491,76.51
4001,5492,110.17
4001,5493,69.6
4001,5496,83.46
